"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Cardinals",10.2747331281531,"D",3000,291.978386453649,0,Inf,60,82.7,2.86,1.2,"ARI"
"2","Falcons",NA,"D",2400,NA,0,Inf,90,66.85,1.36,-1.7,"ATL"
"3","Ravens",8.80009386548889,"D",3000,340.905454629868,0,Inf,90,43.2,-0.44,-2.5,"BAL"
"4","Bills",12.6613641741782,"D",3400,268.533465527674,0,Inf,80,79.4,0.39,3.3,"BUF"
"5","Panthers",15.5553283268814,"D",2600,167.14529872744,0,Inf,90,45.3,0.73,-2.9,"CAR"
"6","Bears",NA,"D",2500,NA,0,Inf,90,37.9,-1.36,-2.5,"CHI"
"7","Bengals",13.3396571199999,"D",2700,202.404003019834,0,Inf,90,29.5,-0.49,-3.7,"CIN"
"8","Browns",-0.813312250589606,"D",2100,-2582.03414307066,0,Inf,80,20.6,0.31,-4.9,"CLE"
"9","Cowboys",3.79469084796187,"D",2800,737.873021066758,0,Inf,90,44.4,3.29,-3.2,"DAL"
"10","Broncos",3.87428485590115,"D",3900,1006.63739117161,0,Inf,60,26.05,-2.5,-5.6,"DEN"
"11","Lions",NA,"D",2600,NA,0,Inf,90,30.45,-2.07,-3.2,"DET"
"12","Packers",NA,"D",2800,NA,0,Inf,90,42.5,-1.21,-2.1,"GB"
"13","Texans",5.99668664882983,"D",3500,583.655642684444,0,Inf,60,31.1,-2.13,-2.4,"HOU"
"14","Colts",10.1941938925388,"D",3200,313.904172682267,0,Inf,90,63.7,-0.98,-1.1,"IND"
"15","Jaguars",5.57903454667022,"D",2500,448.10620530968,0,Inf,90,15.25,-0.36,-4.8,"JAX"
"16","Chiefs",12.0490124788166,"D",3300,273.881366278086,0,Inf,90,84.25,-0.39,2,"KC"
"17","Rams",10.6975583539168,"D",2700,252.394042703346,0,Inf,90,63.55,1.11,-1.5,"LA"
"18","Dolphins",0.673912036130433,"D",2400,3561.29564591348,0,Inf,90,29.25,1.16,-6.2,"MIA"
"19","Vikings",NA,"D",3800,NA,0,Inf,80,63.2,1.22,-0.4,"MIN"
"20","Patriots",-1.70447751681604,"D",3200,-1877.40816081727,0,Inf,60,37.7,1.22,-4.8,"NE"
"21","Saints",NA,"D",2200,NA,0,Inf,90,21.1,1.79,-4.8,"NO"
"22","Giants",1.15970026305383,"D",3100,2673.10450705322,0,Inf,90,26,-0.26,-5.7,"NYG"
"23","Jets",0.865139147310668,"D",2300,2658.53187565223,0,Inf,90,31.1,2.28,-4.1,"NYJ"
"24","Raiders",8.44952982963373,"D",2800,331.379385179515,0,Inf,80,75.35,0.69,1.2,"OAK"
"25","Eagles",8.16952960277429,"D",2900,354.977598589665,0,Inf,80,37.05,0.17,-5.4,"PHI"
"26","Steelers",4.3778952516023,"D",3600,822.312959334147,0,Inf,60,80.85,-0.64,2.9,"PIT"
"27","Chargers",5.52931000041406,"D",2800,506.392298458637,0,Inf,90,31.25,0.29,-5,"SD"
"28","49ers",10.5873004512614,"D",2400,226.686680995632,0,Inf,90,39.55,-2.54,-1.5,"SF"
"29","Buccaneers",10.4779977575652,"D",3100,295.858051483335,0,Inf,90,54.85,1.24,-2,"TB"
"30","Titans",8.39453187265552,"D",2900,345.462980424972,0,Inf,90,55.5,-0.23,-1.3,"TEN"
"31","Redskins",9.57753683348065,"D",2900,302.791839950156,0,Inf,60,46,0.17,-1.7,"WAS"
