"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Jared Cook",1.15149299648906,"TE",3900,3386.90726899011,25.4,153.543307086614,8,58.35,3.26,7.2,"GB"
"2","Jason Witten",11.0367975109025,"TE",3500,317.120976129406,17.9,195.530726256983,50,55.77,3.52,0.4,"DAL"
"3","Jesse James",2.9091450771025,"TE",2800,962.482078339245,13.3,210.526315789474,90,40.91,0.65,1.8,"PIT"
"4","Travis Kelce",6.92209954756653,"TE",6100,881.235520824669,12.7,480.314960629921,40,62.75,4.98,1.3,"KC"
"5","C.J. Fiedorowicz",9.03021144677558,"TE",3600,398.661761268664,12.6,285.714285714286,70,58.26,2.83,-0.4,"HOU"
"6","Jimmy Graham",10.7538197274465,"TE",4900,455.652049614885,11.2,437.5,60,67.88,3.46,3.4,"SEA"
"7","Richard Rodgers",3.74283984310123,"TE",2500,667.942018573939,10.4,240.384615384615,90,53.77,-0.58,7.2,"GB"
"8","Levine Toilolo",1.28254988633887,"TE",2500,1949.24191770538,4.6,543.478260869565,90,43.48,-2.18,-1.1,"ATL"
"9","Austin Hooper",2.52266416258949,"TE",2900,1149.57830812611,2,1450,90,35.32,-0.14,-1.1,"ATL"
"10","Martellus Bennett",6.29380416119099,"TE",4000,635.545672784816,1.4,2857.14285714286,60,58.14,2.07,-0.6,"NE"
"11","Luke Willson",1.2972467011692,"TE",2500,1927.15849479267,0,Inf,90,44.43,-1.58,3.4,"SEA"
"12","Ryan Griffin",8.24723170795458,"TE",2600,315.257299912195,0,Inf,90,38.17,0.23,-0.4,"HOU"
