"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Randall Cobb",6.35185355483213,"WR",5900,928.862724725701,0,Inf,50,68.3,1.67,-1.4,"GB"
"2","Jordy Nelson",9.86081155474314,"WR",7600,770.7276381673,0,Inf,50,33.45,-4.93,-1.4,"GB"
"3","Jeff Janis",5.03499341924562,"WR",3000,595.829974381473,0,Inf,90,40.8,-0.98,-1.4,"GB"
"4","Geronimo Allison",4.09711130365426,"WR",3800,927.482735607094,0,Inf,50,34.65,-2.91,-1.4,"GB"
"5","Davante Adams",13.2482423224741,"WR",6600,498.179293475323,0,Inf,30,68.1,1.47,-1.4,"GB"
"6","Aldrick Robinson",6.7650735211933,"WR",3000,443.45416063872,0,Inf,90,34.65,-3.58,2.7,"ATL"
"7","Taylor Gabriel",13.8183175866364,"WR",4900,354.601779071769,0,Inf,30,78.1,2.26,2.7,"ATL"
"8","Mohamed Sanu",14.8291039976856,"WR",4500,303.457309403341,0,Inf,8,74.75,1.88,2.7,"ATL"
"9","Julio Jones",18.2190759583747,"WR",8200,450.077710787013,0,Inf,20,82.65,2.4,2.7,"ATL"
"10","Justin Hardy",6.32379755937837,"WR",3000,474.398487907146,0,Inf,90,41.45,-2.38,2.7,"ATL"
"11","Antonio Brown",17.8277521148336,"WR",8800,493.61242759697,0,Inf,20,76.7,3.02,-1.4,"PIT"
"12","Sammie Coates",6.27111624602214,"WR",3000,478.383733024076,0,Inf,90,38.7,-1.08,-1.4,"PIT"
"13","Eli Rogers",7.85959810287743,"WR",3400,432.592093831776,0,Inf,60,70.15,2.8,-1.4,"PIT"
"14","Cobi Hamilton",5.71735131201193,"WR",3000,524.718499228326,0,Inf,80,33.2,-2.08,-1.4,"PIT"
"15","Chris Hogan",8.19135164627386,"WR",3900,476.111900503509,0,Inf,50,57.15,0.36,-0.5,"NE"
"16","Danny Amendola",2.37323916410115,"WR",3100,1306.23160400023,0,Inf,70,33.95,-2.61,-0.5,"NE"
"17","Malcolm Mitchell",5.52274064092677,"WR",3700,669.957226052011,0,Inf,60,55.7,0.52,-0.5,"NE"
"18","Julian Edelman",29.5164813207663,"WR",7300,247.319452500732,0,Inf,50,83.3,3.76,-0.5,"NE"
