"","x"
"1",31.7437878316177
"2",21.8905606863955
"3",33.6378648914488
"4",27.9298749442896
"5",47.6996538523763
"6",19.5896567179734
"7",31.2616124642791
"8",31.8612094693763
"9",9.36941229580771
"10",5.84252035436293
"11",14.0104695715218
"12",18.6748398115597
"13",23.0202421015292
"14",30.4705253668362
"15",20.3615029786361
"16",43.3522880430955
"17",NA
"18",28.4782521161687
"19",8.61064667977371
"20",17.861772611348
"21",29.2481752991062
"22",15.6756677587546
"23",66.3812445527128
"24",29.4887385037091
"25",24.9625344765209
"26",14.988212638531
"27",31.8071118226126
"28",36.9300378042371
"29",24.968092002413
"30",10.6119078854063
"31",29.7891469178121
"32",50.9078254597352
"33",45.1944932708029
"34",15.6841352999036
"35",40.4399208628583
"36",14.2912377260218
"37",19.117451632048
"38",22.4166920676198
"39",20.9551586948146
"40",27.0344140636371
"41",24.8276828065682
"42",28.075804301654
"43",24.3255904752896
"44",14.3545788516039
"45",29.2831371768916
"46",43.8863958227339
"47",10.1986761129428
"48",23.1827047803072
"49",4.48612084367232
"50",37.5543324918472
"51",38.8408166701993
"52",32.5997639071356
"53",24.1369260852152
"54",26.7116071150176
"55",14.2502589276555
"56",17.3084334759205
"57",22.6139591792435
"58",36.3045748150435
"59",29.6504162040292
"60",27.5239925512924
"61",20.3987513807078
"62",27.405261072885
"63",13.6491866069991
"64",28.2826705807547
"65",23.7354415997233
"66",14.2715792920135
"67",9.5584937818021
"68",22.2202501191605
"69",37.355585487594
"70",22.2275526081539
"71",23.9185271608567
"72",20.0167961546395
"73",16.1820500992944
"74",17.1561933205157
"75",16.9665355123307
"76",38.7766236973821
"77",26.8364704123251
"78",27.1220821720217
"79",35.0710357888111
"80",12.0551854876612
"81",20.4345456327756
"82",14.3731350407743
"83",18.7116650537955
"84",19.9528026959488
"85",13.4067242410765
"86",7.41317441369938
"87",9.09441989362131
"88",15.2611566372889
"89",12.5254198444291
"90",14.6491983032538
"91",15.1905146039244
"92",11.4311494020931
"93",15.5014945665207
